
========== SVM FEATURE-LEVEL AUDIT ==========
Total unique polarity features: 1185

========== MOST HARMFUL FEATURES ==========
                                feature         feature_family  applications  corrected  harmed  net_corrections  decisive_cases  correction_precision  mean_margin_change decision
                    FEAT_NEG_SCOPE_book         negation_scope             9          0       1               -1               1              0.000000           -0.018381   REVIEW
                 FEAT_NEG_SCOPE_mistake         negation_scope             2          0       1               -1               1              0.000000            0.012733   REVIEW
          FEAT_AFTER_CONTRAST_but_month   after_contrast_scope             3          0       1               -1               1              0.000000            0.042012   REVIEW
         FEAT_AFTER_CONTRAST_but_course   after_contrast_scope             2          0       1               -1               1              0.000000            0.079084   REVIEW
             FEAT_PHRASE_waste_of_money                 phrase             2          0       1               -1               1              0.000000            0.198134   REVIEW
                    FEAT_NEG_SCOPE_help         negation_scope             3          1       2               -1               3              0.333333           -0.055473   REVIEW
                    FEAT_NEG_SCOPE_need         negation_scope             5          1       1                0               2              0.500000           -0.098835   REVIEW
                     FEAT_CAPS_EMPHASIS          caps_emphasis            39          3       3                0               6              0.500000           -0.051043   REVIEW
            FEAT_AFTER_CONTRAST_but_use   after_contrast_scope             2          1       1                0               2              0.500000           -0.046313   REVIEW
            FEAT_AFTER_CONTRAST_but_buy   after_contrast_scope             4          1       1                0               2              0.500000           -0.026995   REVIEW
                  FEAT_NEG_SCOPE_regret         negation_scope             2          1       1                0               2              0.500000           -0.026906   REVIEW
           FEAT_AFTER_CONTRAST_but_read   after_contrast_scope             7          1       1                0               2              0.500000            0.005113   REVIEW
            FEAT_AFTER_CONTRAST_but_fit   after_contrast_scope             3          1       1                0               2              0.500000            0.030732   REVIEW
                     FEAT_NEG_SCOPE_use         negation_scope             4          1       1                0               2              0.500000            0.035351   REVIEW
              FEAT_PHRASE_does_not_work                 phrase            10          1       1                0               2              0.500000            0.119311   REVIEW
      FEAT_AFTER_CONTRAST_but_advantage   after_contrast_scope             1          0       0                0               0                   NaN           -0.633813   REVIEW
       FEAT_AFTER_CONTRAST_but_continue   after_contrast_scope             1          0       0                0               0                   NaN           -0.633813   REVIEW
  FEAT_AFTER_CONTRAST_but_contraceptive   after_contrast_scope             1          0       0                0               0                   NaN           -0.633813   REVIEW
      FEAT_AFTER_CONTRAST_but_essential   after_contrast_scope             1          0       0                0               0                   NaN           -0.633813   REVIEW
      FEAT_AFTER_CONTRAST_but_exception   after_contrast_scope             1          0       0                0               0                   NaN           -0.633813   REVIEW
          FEAT_AFTER_CONTRAST_but_flint   after_contrast_scope             1          0       0                0               0                   NaN           -0.633813   REVIEW

========== MOST HELPFUL FEATURES ==========
                                        feature         feature_family  applications  corrected  harmed  net_corrections  decisive_cases  correction_precision  mean_margin_change decision
                               FEAT_NEGATOR_not                negator            97         11       6                5              17              0.647059            0.026100   REVIEW
                          FEAT_CONTRAST_however        contrast_marker            13          3       0                3               3              1.000000           -0.046808   REVIEW
                            FEAT_NEG_SCOPE_idea         negation_scope             2          2       0                2               2              1.000000            0.121818   REVIEW
             FEAT_AFTER_CONCESSION_though_story after_concession_scope             2          2       0                2               2              1.000000            0.117578   REVIEW
                    FEAT_INTENSIFIER_absolutely            intensifier             2          2       0                2               2              1.000000            0.117578   REVIEW
                    FEAT_AFTER_CONTRAST_but_big   after_contrast_scope             3          2       0                2               2              1.000000            0.088892   REVIEW
                        FEAT_INTENSIFIER_really            intensifier            24          2       0                2               2              1.000000            0.031064   REVIEW
                             FEAT_NEGATOR_never                negator             9          2       0                2               2              1.000000           -0.079113   REVIEW
                         FEAT_CONCESSIVE_though      concessive_marker            10          3       1                2               4              0.750000            0.011280   REVIEW
                                FEAT_NEGATOR_no                negator            27          4       2                2               6              0.666667            0.009930   REVIEW
                          FEAT_INTENSIFIER_very            intensifier            35          6       4                2              10              0.600000            0.027253   REVIEW
          FEAT_AFTER_CONCESSION_although_balkan after_concession_scope             1          1       0                1               1              1.000000            0.343037   REVIEW
           FEAT_AFTER_CONCESSION_although_ghost after_concession_scope             1          1       0                1               1              1.000000            0.343037   REVIEW
                             FEAT_NEG_DEP_ghost    negation_dependency             1          1       0                1               1              1.000000            0.343037   REVIEW
                         FEAT_NEG_SCOPE_culture         negation_scope             1          1       0                1               1              1.000000            0.343037   REVIEW
                             FEAT_NEG_SCOPE_far         negation_scope             1          1       0                1               1              1.000000            0.343037   REVIEW
                            FEAT_NEG_SCOPE_join         negation_scope             1          1       0                1               1              1.000000            0.343037   REVIEW
                         FEAT_NEG_SCOPE_morally         negation_scope             1          1       0                1               1              1.000000            0.343037   REVIEW
                           FEAT_NEG_SCOPE_occur         negation_scope             1          1       0                1               1              1.000000            0.343037   REVIEW
                           FEAT_NEG_SCOPE_wrong         negation_scope             1          1       0                1               1              1.000000            0.343037   REVIEW
                      FEAT_PHRASE_not_satisfied                 phrase             1          1       0                1               1              1.000000            0.343037   REVIEW
                 FEAT_AFTER_CONTRAST_but_matter   after_contrast_scope             1          1       0                1               1              1.000000            0.299005   REVIEW
                  FEAT_AFTER_CONTRAST_but_taste   after_contrast_scope             1          1       0                1               1              1.000000            0.299005   REVIEW
             FEAT_AFTER_CONTRAST_however_caveat   after_contrast_scope             1          1       0                1               1              1.000000            0.299005   REVIEW
                           FEAT_NEG_SCOPE_comma         negation_scope             1          1       0                1               1              1.000000            0.299005   REVIEW
                       FEAT_NEG_SCOPE_correctly         negation_scope             1          1       0                1               1              1.000000            0.299005   REVIEW
                       FEAT_NEG_SCOPE_denigrate         negation_scope             1          1       0                1               1              1.000000            0.299005   REVIEW
                        FEAT_NEG_SCOPE_donachie         negation_scope             1          1       0                1               1              1.000000            0.299005   REVIEW
                             FEAT_NEG_SCOPE_job         negation_scope             1          1       0                1               1              1.000000            0.299005   REVIEW
                         FEAT_NEG_SCOPE_writing         negation_scope             1          1       0                1               1              1.000000            0.299005   REVIEW
                             FEAT_NEG_SCOPE_set         negation_scope             2          1       0                1               1              1.000000            0.286265   REVIEW
                      FEAT_NEG_SCOPE_understand         negation_scope             2          1       0                1               1              1.000000            0.283301   REVIEW
                           FEAT_NEG_SCOPE_frank         negation_scope             1          1       0                1               1              1.000000            0.240384   REVIEW
                         FEAT_NEG_SCOPE_herbert         negation_scope             1          1       0                1               1              1.000000            0.240384   REVIEW
               FEAT_AFTER_CONTRAST_but_daughter   after_contrast_scope             1          1       0                1               1              1.000000            0.220797   REVIEW
                         FEAT_PHRASE_runs_small                 phrase             1          1       0                1               1              1.000000            0.220797   REVIEW
                     FEAT_PHRASE_never_received                 phrase             1          1       0                1               1              1.000000            0.213945   REVIEW
                   FEAT_INTENSIFIED_description      intensified_scope             2          1       0                1               1              1.000000            0.199026   REVIEW
                          FEAT_NEG_SCOPE_switch         negation_scope             2          1       0                1               1              1.000000            0.194864   REVIEW
                       FEAT_NEG_SCOPE_technical         negation_scope             1          1       0                1               1              1.000000            0.192691   REVIEW
                         FEAT_INTENSIFIED_small      intensified_scope             3          1       0                1               1              1.000000            0.187062   REVIEW
                  FEAT_INTENSIFIED_disappointed      intensified_scope             3          1       0                1               1              1.000000            0.185886   REVIEW
                   FEAT_AFTER_CONTRAST_but_give   after_contrast_scope             2          1       0                1               1              1.000000            0.181661   REVIEW
                          FEAT_INTENSIFIED_line      intensified_scope             1          1       0                1               1              1.000000            0.172397   REVIEW
                        FEAT_INTENSIFIED_stream      intensified_scope             1          1       0                1               1              1.000000            0.172397   REVIEW
                            FEAT_NEG_SCOPE_deal         negation_scope             2          1       0                1               1              1.000000            0.165490   REVIEW
                           FEAT_NEG_SCOPE_close         negation_scope             2          1       0                1               1              1.000000            0.146075   REVIEW
                           FEAT_NEG_SCOPE_agree         negation_scope             3          1       0                1               1              1.000000            0.146052   REVIEW
                      FEAT_INTENSIFIED_tangible      intensified_scope             1          1       0                1               1              1.000000            0.128646   REVIEW
                             FEAT_NEG_SCOPE_ask         negation_scope             1          1       0                1               1              1.000000            0.128646   REVIEW
                      FEAT_NEG_SCOPE_frequently         negation_scope             1          1       0                1               1              1.000000            0.128646   REVIEW
                         FEAT_NEG_SCOPE_include         negation_scope             1          1       0                1               1              1.000000            0.128646   REVIEW
                         FEAT_INTENSIFIED_enjoy      intensified_scope             3          1       0                1               1              1.000000            0.127512   REVIEW
                   FEAT_AFTER_CONTRAST_but_feel   after_contrast_scope             1          1       0                1               1              1.000000            0.122299   REVIEW
               FEAT_AFTER_CONTRAST_but_honestly   after_contrast_scope             1          1       0                1               1              1.000000            0.122299   REVIEW
                  FEAT_AFTER_CONTRAST_but_stand   after_contrast_scope             1          1       0                1               1              1.000000            0.122299   REVIEW
                       FEAT_INTENSIFIER_totally            intensifier             1          1       0                1               1              1.000000            0.122299   REVIEW
                             FEAT_NEG_SCOPE_fan         negation_scope             1          1       0                1               1              1.000000            0.122299   REVIEW
                         FEAT_NEG_SCOPE_improve         negation_scope             1          1       0                1               1              1.000000            0.122299   REVIEW
                            FEAT_NEG_SCOPE_king         negation_scope             1          1       0                1               1              1.000000            0.122299   REVIEW
                         FEAT_NEG_SCOPE_opinion         negation_scope             1          1       0                1               1              1.000000            0.122299   REVIEW
               FEAT_AFTER_CONTRAST_but_purchase   after_contrast_scope             2          1       0                1               1              1.000000            0.120406   REVIEW
               FEAT_AFTER_CONTRAST_however_bead   after_contrast_scope             1          1       0                1               1              1.000000            0.120345   REVIEW
            FEAT_AFTER_CONTRAST_however_exactly   after_contrast_scope             1          1       0                1               1              1.000000            0.120345   REVIEW
               FEAT_AFTER_CONTRAST_however_look   after_contrast_scope             1          1       0                1               1              1.000000            0.120345   REVIEW
               FEAT_AFTER_CONTRAST_however_mean   after_contrast_scope             1          1       0                1               1              1.000000            0.120345   REVIEW
           FEAT_AFTER_CONTRAST_however_mushroom   after_contrast_scope             1          1       0                1               1              1.000000            0.120345   REVIEW
                         FEAT_NEG_SCOPE_exactly         negation_scope             1          1       0                1               1              1.000000            0.120345   REVIEW
                        FEAT_NEG_SCOPE_mushroom         negation_scope             1          1       0                1               1              1.000000            0.120345   REVIEW
FEAT_AFTER_CONCESSION_even_though_indispensable after_concession_scope             1          1       0                1               1              1.000000            0.120167   REVIEW
         FEAT_AFTER_CONCESSION_even_though_life after_concession_scope             1          1       0                1               1              1.000000            0.120167   REVIEW
          FEAT_AFTER_CONCESSION_though_addition after_concession_scope             1          1       0                1               1              1.000000            0.120167   REVIEW
             FEAT_AFTER_CONCESSION_though_album after_concession_scope             1          1       0                1               1              1.000000            0.120167   REVIEW
           FEAT_AFTER_CONCESSION_though_bizarre after_concession_scope             1          1       0                1               1              1.000000            0.120167   REVIEW
           FEAT_AFTER_CONCESSION_though_carlton after_concession_scope             1          1       0                1               1              1.000000            0.120167   REVIEW
      FEAT_AFTER_CONCESSION_though_conversation after_concession_scope             1          1       0                1               1              1.000000            0.120167   REVIEW
            FEAT_AFTER_CONCESSION_though_couple after_concession_scope             1          1       0                1               1              1.000000            0.120167   REVIEW
              FEAT_AFTER_CONCESSION_though_cuse after_concession_scope             1          1       0                1               1              1.000000            0.120167   REVIEW
             FEAT_AFTER_CONCESSION_though_damon after_concession_scope             1          1       0                1               1              1.000000            0.120167   REVIEW
     FEAT_AFTER_CONCESSION_though_demonstration after_concession_scope             1          1       0                1               1              1.000000            0.120167   REVIEW
           FEAT_AFTER_CONCESSION_though_episode after_concession_scope             1          1       0                1               1              1.000000            0.120167   REVIEW
            FEAT_AFTER_CONCESSION_though_format after_concession_scope             1          1       0                1               1              1.000000            0.120167   REVIEW
            FEAT_AFTER_CONCESSION_though_friend after_concession_scope             1          1       0                1               1              1.000000            0.120167   REVIEW
           FEAT_AFTER_CONCESSION_though_gervais after_concession_scope             1          1       0                1               1              1.000000            0.120167   REVIEW
