
========== SVM RULE-LEVEL AUDIT ==========
Total rules: 148
Rules used: 49
Rules not used: 99

========== RULE SUMMARY TABLE ==========
                              rule_key  applications  corrected  harmed  net_corrections  correction_precision  mean_margin_change status
negator:nt
negator:shouldn't
negator:shouldnt
negator:wasn't
negator:wasnt
negator:weren't
negator:werent
negator:won't
negator:wont
negator:wouldn't
negator:wouldnt
phrase:bad_translation
phrase:battery_drains_fast
phrase:better_than_expected
phrase:cannot_recommend_enough
phrase:color_faded
phrase:comfortable_fit
phrase:could_not_be_happier
phrase:dead_on_arrival
phrase:does_not_hold_charge
phrase:exceeded_expectations
phrase:fabric_feels_cheap
phrase:fell_apart
phrase:flickering_screen
phrase:great_read
phrase:hard_to_follow
phrase:highly_informative
phrase:keeps_disconnecting
phrase:low_quality
phrase:missing_pages
phrase:missing_parts
phrase:neutral_average_nothing_special
phrase:neutral_decent_for_price
phrase:neutral_good_but_not_great
phrase:neutral_not_bad_not_great
phrase:neutral_okay_but_issues
phrase:neutral_somewhat_disappointed
phrase:neutral_works_but
phrase:no_complaints
phrase:no_longer_works
phrase:no_regrets
phrase:not_as_described
phrase:not_bad
phrase:not_delivered
phrase:not_lasting
phrase:not_powering_on
phrase:not_turning_on
phrase:overheats_quickly
phrase:poor_connection
phrase:poor_fit
phrase:printing_error
phrase:screen_cracked
phrase:seam_ripped
phrase:shrunk_after_wash
phrase:stopped_working
phrase:touchscreen_not_responsive
phrase:want_refund
phrase:works_as_expected
phrase:works_perfectly
phrase:worth_every_penny
phrase:would_buy_again
phrase:would_not_recommend
phrase:wrong_item
phrase:wrong_size
phrase:zipper_broken
post_contrast_marker:nevertheless
post_contrast_marker:nonetheless
